,sub,num_ind,rc_ind,undo_ind,num_list,budget_list,rc_list,undo_click,n_undo,diff_n,diff,diff_undo,t_rc,t_undo,f_t_rc,f_t_undo,t_everyact_rc,t_everyundo,t_everyc_undo,t_s_rc,t_s_undo
40,1,136,88,64,4,200,8,1,7,0,0,0,14.899999999999636,22.65000000000009,7.5900000000001455,2.650000000000091,"[0.5299999999997453, 0.8299999999999272, 1.2100000000000364, 0.6400000000003274, 1.1300000000001091, 0.6999999999998181, 1.4600000000000364]","[3.130000000000109, 0.2199999999997999, 0.19000000000005457, 0.20000000000027285, 0.2199999999997999, 0.21000000000003638, 0.2199999999997999]","[0.5199999999999818, 1.6599999999998545, 1.1799999999998363, 0.6600000000003092, 0.5899999999996908, 0.6300000000001091, 3.830000000000382, 0.7299999999995634, 0.680000000000291, 0.5599999999999454, 0.4299999999998363, 0.6600000000003092, 0.6999999999998181, 2.1700000000000728]",0.8099999999994907,0.6100000000001273
41,1,137,89,65,6,350,9,1,12,-1,-1,-1,22.210000000000036,42.850000000000364,13.489999999999782,10.670000000000073,"[0.5, 0.8000000000001819, 2.389999999999418, 0.8500000000003638, 0.5399999999999636, 1.0200000000004366, 0.6699999999991633]","[1.3200000000001637, 0.21000000000003638, 0.18999999999959982, 0.21000000000003638, 0.18000000000029104, 0.21000000000003638, 0.2199999999997999, 0.32999999999992724, 2.8400000000001455, 0.36999999999989086, 0.3400000000001455, 1.8699999999998909]","[0.5300000000002001, 1.0899999999996908, 1.8100000000004002, 0.6599999999998545, 0.6700000000000728, 1.7300000000000182, 1.1399999999998727, 3.369999999999891, 1.7600000000002183, 0.650000000000091, 1.1300000000001091, 0.5499999999997272, 1.0, 0.47000000000025466, 1.199999999999818, 0.31999999999970896, 0.6900000000000546, 1.7300000000000182, 1.3099999999999454]",1.9500000000007276,2.080000000000382
42,1,138,90,66,7,500,8,1,7,-3,-1,0,27.920000000000073,41.16999999999962,14.0,7.2599999999997635,"[0.7600000000002183, 0.4899999999997817, 2.149999999999636, 1.1900000000005093, 1.3999999999996362, 1.0100000000002183]","[5.6599999999998545, 0.43000000000029104, 0.1799999999998363, 0.22000000000025466, 0.1999999999998181, 0.1999999999998181, 0.2899999999999636]","[1.5799999999999272, 1.2600000000002183, 1.5799999999999272, 1.1700000000000728, 1.2399999999997817, 1.3800000000001091, 1.4800000000000182, 0.4800000000000182, 0.8400000000001455, 1.1100000000001273, 0.6199999999998909, 1.7199999999998, 1.180000000000291, 3.299999999999727]",6.920000000000073,7.789999999999964
43,1,139,91,67,5,350,11,1,11,-1,0,-1,22.50999999999931,43.039999999999964,1.1899999999995998,13.200000000000273,"[0.8400000000001455, 3.800000000000182, 5.3400000000001455, 0.8099999999994907, 0.8200000000006185, 1.0299999999997453, 0.8400000000001455, 4.219999999999345, 1.1900000000005093, 0.9200000000000728]","[2.599999999999909, 0.2600000000002183, 0.2199999999997999, 0.25, 0.2300000000000182, 0.21000000000003638, 0.34999999999990905, 1.550000000000182, 0.27999999999974534, 1.349999999999909, 0.2899999999999636]","[2.399999999999636, 1.9200000000000728, 0.849999999999909, 0.830000000000382, 2.3099999999999454, 0.8899999999998727, 0.7300000000000182, 1.0599999999999454, 0.8299999999999272, 0.3400000000001455, 1.099999999999909, 0.6200000000003456, 0.6099999999996726, 0.6600000000003092, 0.7699999999999818, 0.6599999999998545, 0.7000000000002728, 0.849999999999909, 1.5199999999999818, 1.800000000000182]",1.5099999999993088,0.7999999999997272
44,1,140,92,68,4,200,6,0,0,0,0,0,41.1899999999996,19.90000000000009,32.090000000000146,13.050000000000182,"[0.5299999999997453, 1.5299999999997453, 0.9200000000000728, 2.630000000000109, 1.4200000000000728]",[],"[0.7799999999997453, 0.7699999999999818, 0.9500000000002728, 1.9299999999998363, 0.7800000000002001]",2.069999999999709,1.6399999999998727
45,1,141,93,69,3,200,9,0,0,0,-1,0,31.49000000000069,10.759999999999764,19.980000000000473,2.0599999999999454,"[1.5900000000001455, 0.7299999999995634, 1.8299999999999272, 1.9400000000005093, 1.7399999999997817, 0.9799999999995634, 0.9800000000004729]",[],"[0.7300000000000182, 1.2400000000002365, 0.7699999999995271, 1.25, 0.5799999999999272, 1.2900000000008731, 0.6699999999991633, 0.6200000000008004]",1.7200000000002547,1.5499999999992724
46,1,142,94,70,5,200,8,1,15,0,0,0,8.930000000000291,35.220000000000255,2.4200000000000728,5.25,"[0.5500000000001819, 0.5500000000001819, 0.75, 1.3099999999994907, 0.6300000000001091, 0.6199999999998909, 0.680000000000291]","[2.0799999999999272, 0.25, 0.22000000000025466, 0.25, 0.7100000000000364, 0.9600000000000364, 0.22000000000025466, 0.22000000000025466, 0.18999999999959982, 0.4099999999998545, 0.7700000000004366, 0.22000000000025466, 0.21999999999934516, 0.21000000000003638, 0.27999999999974534]","[1.430000000000291, 1.0600000000004002, 0.5199999999995271, 0.75, 0.930000000000291, 3.759999999999309, 1.3900000000003274, 0.42000000000007276, 0.7600000000002183, 1.2899999999999636, 0.589999999999236, 0.6700000000000728, 0.8299999999999272, 0.5900000000001455, 0.680000000000291, 0.4499999999998181, 0.43000000000029104, 0.819999999999709, 0.6700000000000728, 0.7800000000006548]",1.4200000000000728,2.019999999999527
47,1,143,95,71,4,350,8,1,14,0,0,0,15.38000000000011,53.05000000000018,3.5900000000001455,16.529999999999745,"[0.6899999999995998, 1.430000000000291, 1.4899999999997817, 2.369999999999891, 1.230000000000473, 1.3999999999996362, 0.5900000000001455]","[1.6099999999996726, 0.25, 0.6100000000005821, 0.18999999999959982, 0.1999999999998181, 0.2600000000002183, 0.23000000000047294, 1.1199999999998909, 0.18999999999959982, 0.19000000000050932, 0.18999999999959982, 0.21000000000003638, 0.9000000000005457, 0.27999999999974534]","[1.2600000000002183, 0.7700000000004366, 0.819999999999709, 0.6700000000000728, 1.4200000000000728, 2.449999999999818, 1.3999999999996362, 0.9700000000002547, 1.639999999999418, 0.7800000000006548, 0.9899999999997817, 1.6400000000003274, 1.2299999999995634, 1.300000000000182, 0.9700000000002547, 0.75, 0.6999999999998181, 0.4899999999997817, 1.0600000000004002, 0.7599999999993088, 2.300000000000182]",2.5900000000001455,5.720000000000255
48,2,96,24,0,6,350,8,1,5,1,0,0,12.550000000000182,47.289999999999964,4.850000000000364,16.91000000000031,"[0.6099999999996726, 0.4800000000000182, 0.7400000000002365, 2.0099999999997635, 1.1700000000000728, 0.650000000000091, 1.5299999999997453]","[6.119999999999891, 0.2800000000002001, 0.21000000000003638, 0.21000000000003638, 0.25999999999976353]","[1.1299999999996544, 0.7800000000002001, 0.6700000000000728, 1.9699999999998, 1.4500000000002728, 1.0899999999996908, 0.5500000000001819, 5.369999999999891, 0.5300000000002001, 0.9400000000000546, 1.069999999999709, 5.260000000000218]",0.5100000000002183,2.4899999999997817
49,2,97,25,1,4,350,6,1,4,1,0,0,11.13000000000011,23.860000000000127,4.7800000000002,8.460000000000036,"[1.9800000000000182, 0.9800000000000182, 0.6299999999996544, 0.7000000000002728, 1.949999999999818]","[2.1799999999998363, 0.20000000000027285, 0.2199999999997999, 0.21000000000003638]","[2.3299999999999272, 1.0199999999999818, 1.300000000000182, 1.4600000000000364, 0.6199999999998909, 0.650000000000091, 0.9800000000000182, 2.150000000000091, 1.6300000000001091]",0.11000000000012733,0.4499999999998181
50,2,98,26,2,7,500,9,1,3,-2,0,0,15.389999999999873,32.10999999999967,2.8099999999999454,4.170000000000073,"[1.2699999999999818, 0.8299999999999272, 0.5099999999997635, 0.8099999999999454, 0.9500000000002728, 3.1100000000001273, 0.9099999999998545, 2.9099999999998545]","[11.300000000000182, 0.2300000000000182, 1.0599999999999454]","[0.8899999999998727, 1.1599999999998545, 1.5700000000001637, 0.9299999999998363, 1.2200000000002547, 0.6399999999998727, 0.7399999999997817, 1.9200000000000728, 1.1300000000001091, 0.6499999999996362, 2.1600000000003092]",1.2800000000002,2.3399999999996908
51,2,99,27,3,8,500,9,1,14,-1,-2,-2,11.820000000000164,47.190000000000055,5.180000000000291,5.359999999999673,"[0.4800000000000182, 0.7199999999997999, 0.7899999999999636, 1.0799999999999272, 0.7800000000002001, 1.7400000000002365]","[4.789999999999964, 0.19000000000005457, 5.190000000000055, 0.25999999999976353, 0.19000000000005457, 0.19000000000005457, 0.19000000000005457, 0.21000000000003638, 8.109999999999673, 0.22000000000025466, 0.21000000000003638, 0.849999999999909, 0.1999999999998181, 0.21000000000003638]","[0.9200000000000728, 0.650000000000091, 0.599999999999909, 1.150000000000091, 0.6700000000000728, 0.7999999999997272, 0.6000000000003638, 2.3799999999996544, 1.3600000000001273, 0.7800000000002001, 0.6999999999998181, 0.6199999999998909, 0.6000000000003638, 2.880000000000109, 0.9699999999997999, 0.4800000000000182, 0.680000000000291, 1.6499999999996362, 0.6100000000001273, 0.8099999999999454]",1.0499999999997272,0.9100000000003092
52,2,100,28,4,3,200,9,1,7,0,-1,-1,14.349999999999909,31.54000000000042,2.769999999999982,6.2800000000002,"[1.4400000000000546, 0.8200000000001637, 0.9899999999997817, 1.3700000000003456, 1.8099999999999454, 2.3899999999998727, 1.9600000000000364]","[2.699999999999818, 0.20000000000027285, 0.23999999999978172, 0.22000000000025466, 0.3599999999996726, 0.6899999999995998, 3.2799999999997453]","[0.9600000000000364, 0.9200000000000728, 0.7399999999997817, 0.8200000000001637, 0.8099999999999454, 0.7900000000004184, 1.6200000000003456, 0.9400000000000546, 1.2899999999999636, 0.4699999999997999, 0.6700000000000728, 0.47000000000025466, 3.0599999999999454, 1.3600000000001273]",0.7999999999997272,2.650000000000091
53,2,101,29,5,9,500,8,0,0,0,-2,-1,18.4699999999998,19.38000000000011,5.900000000000091,14.460000000000036,"[5.299999999999727, 2.5, 1.430000000000291, 0.6199999999998909, 1.3899999999998727]",[],"[0.6300000000001091, 0.4099999999998545, 0.4600000000000364, 0.6100000000001273, 0.5399999999999636, 0.5599999999999454]",1.3299999999999272,1.7100000000000364
